Ville;Type_bien;loyer_median;loyer_mensuel_median;surface_moyenne;nombre_observations;prix_achat_median;surface_median;loyer_annuel;rendement_%
Grenoble;Appartement;9,4;750.0;88.0;1157.0;146237.5;59.0;9000.0;6.154372168561416
Grenoble;Appartement;10,5;570.0;62.0;976.0;146237.5;59.0;6840.0;4.677322848106676
Grenoble;Appartement;13,9;406.0;30.0;189.0;146237.5;59.0;4872.0;3.331566800581246
Grenoble;Appartement;11,2;503.0;45.0;292.0;146237.5;59.0;6036.0;4.127532267715189
Grenoble;Appartement;9,8;634.0;64.0;280.0;146237.5;59.0;7608.0;5.202495939823916
Grenoble;Appartement;9,4;870.0;104.0;215.0;146237.49999999997;59.0;10440.0;7.1390717155312435
Grenoble;Appartement;10,6;597.0;63.0;152.0;146237.5;59.0;7164.0;4.898880246174887
Grenoble;Appartement;10,2;550.0;62.0;824.0;146237.5;59.0;6600.0;4.513206256945038
Grenoble;Appartement;10,5;600.0;60.0;1778.0;146237.49999999997;59.0;7200.0;4.923497734849133
Grenoble;Appartement;14,7;400.0;28.0;187.0;146237.5;59.0;4800.0;3.282331823232755
Grenoble;Appartement;12,0;515.0;44.0;386.0;146237.49999999997;59.0;6180.0;4.226002222412173
Grenoble;Appartement;10,5;610.0;61.0;661.0;146237.5;59.0;7320.0;5.005556030429951
Grenoble;Appartement;9,3;695.0;79.0;544.0;146237.5;59.0;8340.0;5.703051542866912
Grenoble;Appartement;11,0;610.0;58.0;295.0;146237.5;59.0;7320.0;5.005556030429951
Grenoble;Appartement;10,2;599.0;62.0;1483.0;146237.5;59.0;7188.0;4.915291905291051
Grenoble;Appartement;10,4;650.0;67.0;888.0;146237.5;59.0;7800.0;5.333789212753227
Grenoble;Appartement;14,3;415.0;30.0;142.0;146237.5;59.0;4980.0;3.405419266603983
Grenoble;Appartement;12,2;540.0;46.0;194.0;146237.49999999997;59.0;6480.0;4.43114796136422
Grenoble;Appartement;10,2;677.0;68.0;278.0;146237.5;59.0;8124.0;5.555346610821438
Grenoble;Appartement;9,1;775.0;91.0;274.0;146237.50000000003;59.0;9300.0;6.359517907513461
Grenoble;Appartement;10,7;686.0;66.0;145.0;146237.5;59.0;8232.0;5.629199076844174
Grenoble;Appartement;10,3;650.0;67.0;743.0;146237.5;59.0;7800.0;5.333789212753227
Grenoble;Appartement;11,7;669.0;63.0;641.0;146237.5;59.0;8028.0;5.489699974356783
Grenoble;Appartement;15,0;465.0;29.0;82.0;146237.5;59.0;5580.0;3.8157107445080776
Grenoble;Appartement;12,4;580.0;46.0;190.0;146237.50000000003;59.0;6960.0;4.759381143687494
Grenoble;Appartement;11,0;742.0;69.0;206.0;146237.50000000003;59.0;8904.0;6.08872553209676
Grenoble;Appartement;10,0;926.0;98.0;163.0;146237.5;59.0;11112.0;7.598598170783828
Grenoble;Appartement;12,0;690.0;62.0;96.0;146237.50000000003;59.0;8280.0;5.662022395076502
Grenoble;Appartement;11,5;668.0;63.0;545.0;146237.5;59.0;8016.0;5.481494144798701
Grenoble;Appartement;12,2;701.0;61.0;1123.0;146237.5;59.0;8412.0;5.752286520215403
Grenoble;Appartement;13,6;515.0;38.0;94.0;146237.49999999997;59.0;6180.0;4.226002222412173
Grenoble;Appartement;13,2;600.0;45.0;332.0;146237.49999999997;59.0;7200.0;4.923497734849133
Grenoble;Appartement;11,4;750.0;67.0;492.0;146237.5;59.0;9000.0;6.154372168561416
Grenoble;Appartement;10,4;894.0;90.0;205.0;146237.5;59.0;10728.0;7.336011624925207
Grenoble;Appartement;12,6;700.0;59.0;248.0;146237.5;59.0;8400.0;5.744080690657321
Grenoble;Appartement;11,9;708.0;62.0;875.0;146237.5;59.0;8496.0;5.809727327121976
Grenoble;Appartement;10,5;570.0;62.0;976.0;146237.5;59.0;6840.0;4.677322848106676
Grenoble;Appartement;13,9;406.0;30.0;189.0;146237.5;59.0;4872.0;3.331566800581246
Grenoble;Appartement;11,2;503.0;45.0;292.0;146237.5;59.0;6036.0;4.127532267715189
Grenoble;Appartement;9,8;634.0;64.0;280.0;146237.5;59.0;7608.0;5.202495939823916
Grenoble;Appartement;9,4;870.0;104.0;215.0;146237.49999999997;59.0;10440.0;7.1390717155312435
Grenoble;Appartement;10,6;597.0;63.0;152.0;146237.5;59.0;7164.0;4.898880246174887
Grenoble;Appartement;10,2;550.0;62.0;824.0;146237.5;59.0;6600.0;4.513206256945038
